In / Out of Europe Country Set,Month of Date,Sector,Country,Unit,Value
In,July 2025,Industrial,*,Million Cubic Meter,6738.601168
In,June 2025,Industrial,*,Million Cubic Meter,6741.312545
In,May 2025,Industrial,*,Million Cubic Meter,8062.004739
In,April 2025,Industrial,*,Million Cubic Meter,8238.787562
In,March 2025,Industrial,*,Million Cubic Meter,10546.630933
In,February 2025,Industrial,*,Million Cubic Meter,10883.730194
In,January 2025,Industrial,*,Million Cubic Meter,11183.167606
In,December 2024,Industrial,*,Million Cubic Meter,10558.632623
In,November 2024,Industrial,*,Million Cubic Meter,10261.000969
In,October 2024,Industrial,*,Million Cubic Meter,8958.682651
In,September 2024,Industrial,*,Million Cubic Meter,8116.474263
In,August 2024,Industrial,*,Million Cubic Meter,7411.439341
In,July 2024,Industrial,*,Million Cubic Meter,8084.901036
In,June 2024,Industrial,*,Million Cubic Meter,8024.567356
In,May 2024,Industrial,*,Million Cubic Meter,8633.112319
In,April 2024,Industrial,*,Million Cubic Meter,9228.664747
In,March 2024,Industrial,*,Million Cubic Meter,10511.806227
In,February 2024,Industrial,*,Million Cubic Meter,10580.220578
In,January 2024,Industrial,*,Million Cubic Meter,11192.439698
In,December 2023,Industrial,*,Million Cubic Meter,11008.095496
In,November 2023,Industrial,*,Million Cubic Meter,10465.100838
In,October 2023,Industrial,*,Million Cubic Meter,9028.884287
In,September 2023,Industrial,*,Million Cubic Meter,7669.21292
In,August 2023,Industrial,*,Million Cubic Meter,7130.930342
In,July 2023,Industrial,*,Million Cubic Meter,7426.723181
In,June 2023,Industrial,*,Million Cubic Meter,7405.764021
In,May 2023,Industrial,*,Million Cubic Meter,8004.936919
In,April 2023,Industrial,*,Million Cubic Meter,8788.206116
In,March 2023,Industrial,*,Million Cubic Meter,10311.846748
In,February 2023,Industrial,*,Million Cubic Meter,10340.493849
In,January 2023,Industrial,*,Million Cubic Meter,10939.341717
In,December 2022,Industrial,*,Million Cubic Meter,9641.860745
In,November 2022,Industrial,*,Million Cubic Meter,9400.27645
In,October 2022,Industrial,*,Million Cubic Meter,7645.242469
In,September 2022,Industrial,*,Million Cubic Meter,7106.908951
In,August 2022,Industrial,*,Million Cubic Meter,6607.609501
In,July 2022,Industrial,*,Million Cubic Meter,7446.824303
In,June 2022,Industrial,*,Million Cubic Meter,8659.000207
In,May 2022,Industrial,*,Million Cubic Meter,9633.736904
In,April 2022,Industrial,*,Million Cubic Meter,10655.906764
In,March 2022,Industrial,*,Million Cubic Meter,12701.778523
In,February 2022,Industrial,*,Million Cubic Meter,12223.103028
In,January 2022,Industrial,*,Million Cubic Meter,14322.543871
In,December 2021,Industrial,*,Million Cubic Meter,13921.124096
In,November 2021,Industrial,*,Million Cubic Meter,13479.178103
In,October 2021,Industrial,*,Million Cubic Meter,11475.698051
In,September 2021,Industrial,*,Million Cubic Meter,10412.113577
In,August 2021,Industrial,*,Million Cubic Meter,9702.435756
In,July 2021,Industrial,*,Million Cubic Meter,10540.95282
In,June 2021,Industrial,*,Million Cubic Meter,10467.241347
In,May 2021,Industrial,*,Million Cubic Meter,11898.248265
In,April 2021,Industrial,*,Million Cubic Meter,12843.823948
In,March 2021,Industrial,*,Million Cubic Meter,14685.057604
In,February 2021,Industrial,*,Million Cubic Meter,14171.087477
In,January 2021,Industrial,*,Million Cubic Meter,16102.530131
In,December 2020,Industrial,*,Million Cubic Meter,14814.620228
In,November 2020,Industrial,*,Million Cubic Meter,13503.077853
In,October 2020,Industrial,*,Million Cubic Meter,13047.704212
In,September 2020,Industrial,*,Million Cubic Meter,10842.352382
In,August 2020,Industrial,*,Million Cubic Meter,9644.533906
In,July 2020,Industrial,*,Million Cubic Meter,10359.624357
In,June 2020,Industrial,*,Million Cubic Meter,10143.338626
In,May 2020,Industrial,*,Million Cubic Meter,10515.01336
In,April 2020,Industrial,*,Million Cubic Meter,10275.414271
In,March 2020,Industrial,*,Million Cubic Meter,13249.360482
In,February 2020,Industrial,*,Million Cubic Meter,13831.76539
In,January 2020,Industrial,*,Million Cubic Meter,15443.577396
In,December 2019,Industrial,*,Million Cubic Meter,14143.693945
In,November 2019,Industrial,*,Million Cubic Meter,13879.868878
In,October 2019,Industrial,*,Million Cubic Meter,12097.856286
In,September 2019,Industrial,*,Million Cubic Meter,10652.158894
In,August 2019,Industrial,*,Million Cubic Meter,8365.570194
In,July 2019,Industrial,*,Million Cubic Meter,9571.330926
In,June 2019,Industrial,*,Million Cubic Meter,9347.789596
In,May 2019,Industrial,*,Million Cubic Meter,11078.365756
In,April 2019,Industrial,*,Million Cubic Meter,11234.149491
In,March 2019,Industrial,*,Million Cubic Meter,12717.458039
In,February 2019,Industrial,*,Million Cubic Meter,12747.782932
In,January 2019,Industrial,*,Million Cubic Meter,14509.557776
In,October 2025,Household,*,Million Cubic Meter,7327.978745
In,September 2025,Household,*,Million Cubic Meter,7526.453276
In,August 2025,Household,*,Million Cubic Meter,5446.823468
In,July 2025,Household,*,Million Cubic Meter,6173.731171
In,June 2025,Household,*,Million Cubic Meter,6522.650544
In,May 2025,Household,*,Million Cubic Meter,9969.457535
In,April 2025,Household,*,Million Cubic Meter,13992.119429
In,March 2025,Household,*,Million Cubic Meter,23093.464045
In,February 2025,Household,*,Million Cubic Meter,29552.64211
In,January 2025,Household,*,Million Cubic Meter,33816.7148
In,December 2024,Household,*,Million Cubic Meter,30532.66629
In,November 2024,Household,*,Million Cubic Meter,24737.380713
In,October 2024,Household,*,Million Cubic Meter,14544.032652
In,September 2024,Household,*,Million Cubic Meter,9050.47312
In,August 2024,Household,*,Million Cubic Meter,6801.807639
In,July 2024,Household,*,Million Cubic Meter,7514.888345
In,June 2024,Household,*,Million Cubic Meter,8285.856091
In,May 2024,Household,*,Million Cubic Meter,9950.95141
In,April 2024,Household,*,Million Cubic Meter,16002.687745
In,March 2024,Household,*,Million Cubic Meter,22544.547077
In,February 2024,Household,*,Million Cubic Meter,24654.455208
In,January 2024,Household,*,Million Cubic Meter,34140.785082
In,December 2023,Household,*,Million Cubic Meter,29778.804096
In,November 2023,Household,*,Million Cubic Meter,23855.620627
In,October 2023,Household,*,Million Cubic Meter,13147.810496
In,September 2023,Household,*,Million Cubic Meter,7874.467691
In,August 2023,Household,*,Million Cubic Meter,7063.118415
In,July 2023,Household,*,Million Cubic Meter,7225.688337
In,June 2023,Household,*,Million Cubic Meter,7417.446477
In,May 2023,Household,*,Million Cubic Meter,10601.294129
In,April 2023,Household,*,Million Cubic Meter,17725.612298
In,March 2023,Household,*,Million Cubic Meter,24808.734066
In,February 2023,Household,*,Million Cubic Meter,27286.608274
In,January 2023,Household,*,Million Cubic Meter,30932.827822
In,December 2022,Household,*,Million Cubic Meter,31654.306557
In,November 2022,Household,*,Million Cubic Meter,21097.098974
In,October 2022,Household,*,Million Cubic Meter,11840.908334
In,September 2022,Household,*,Million Cubic Meter,8844.949705
In,August 2022,Household,*,Million Cubic Meter,6583.736723
In,July 2022,Household,*,Million Cubic Meter,7222.677264
In,June 2022,Household,*,Million Cubic Meter,7208.492373
In,May 2022,Household,*,Million Cubic Meter,9723.800159
In,April 2022,Household,*,Million Cubic Meter,18425.055701
In,March 2022,Household,*,Million Cubic Meter,26462.154898
In,February 2022,Household,*,Million Cubic Meter,29257.31117
In,January 2022,Household,*,Million Cubic Meter,36569.750085
In,December 2021,Household,*,Million Cubic Meter,35047.662253
In,November 2021,Household,*,Million Cubic Meter,27419.349564
In,October 2021,Household,*,Million Cubic Meter,17694.635379
In,September 2021,Household,*,Million Cubic Meter,9450.367461
In,August 2021,Household,*,Million Cubic Meter,8141.842052
In,July 2021,Household,*,Million Cubic Meter,7849.524576
In,June 2021,Household,*,Million Cubic Meter,8070.410611
In,May 2021,Household,*,Million Cubic Meter,15417.822477
In,April 2021,Household,*,Million Cubic Meter,23102.931513
In,March 2021,Household,*,Million Cubic Meter,29794.079145
In,February 2021,Household,*,Million Cubic Meter,32592.538088
In,January 2021,Household,*,Million Cubic Meter,40305.593473
In,December 2020,Household,*,Million Cubic Meter,34453.138363
In,November 2020,Household,*,Million Cubic Meter,20786.915917
In,October 2020,Household,*,Million Cubic Meter,18738.155601
In,September 2020,Household,*,Million Cubic Meter,7327.432511
In,August 2020,Household,*,Million Cubic Meter,7516.099159
In,July 2020,Household,*,Million Cubic Meter,6705.505606
In,June 2020,Household,*,Million Cubic Meter,6699.412255
In,May 2020,Household,*,Million Cubic Meter,8956.877714
In,April 2020,Household,*,Million Cubic Meter,12268.841496
In,March 2020,Household,*,Million Cubic Meter,23332.070506
In,February 2020,Household,*,Million Cubic Meter,29830.879814
In,January 2020,Household,*,Million Cubic Meter,31486.872048
In,December 2019,Household,*,Million Cubic Meter,32808.244538
In,November 2019,Household,*,Million Cubic Meter,26959.696825
In,October 2019,Household,*,Million Cubic Meter,14169.500958
In,September 2019,Household,*,Million Cubic Meter,7244.166028
In,August 2019,Household,*,Million Cubic Meter,6616.002661
In,July 2019,Household,*,Million Cubic Meter,6505.242558
In,June 2019,Household,*,Million Cubic Meter,6253.30328
In,May 2019,Household,*,Million Cubic Meter,11746.66692
In,April 2019,Household,*,Million Cubic Meter,15648.322966
In,March 2019,Household,*,Million Cubic Meter,20459.411418
In,February 2019,Household,*,Million Cubic Meter,28538.098971
In,January 2019,Household,*,Million Cubic Meter,32095.394877
