Crude,Year of Date,Month of Date,Monthly production dynamic title,Avg. Value
Bakken,2024,May,United States Production,1184
Alaska North Slope,2024,May,United States Production,419
West Texas Sour,2024,June,United States Production,947.87692
West Texas Light,2024,June,United States Production,743.05436
West Texas Intermediate (Midland),2024,June,United States Production,3032.654733
West Texas Intermediate,2024,June,United States Production,2301.819867
Total,2024,June,United States Production,13240
Thunder Horse,2024,June,United States Production,128.3931
Southern Green Canyon,2024,June,United States Production,168.3
Poseidon,2024,June,United States Production,197.9802
Other Crudes - United States,2024,June,United States Production,2656.194094
Mars Blend,2024,June,United States Production,219.91
Light Louisiana Sweet,2024,June,United States Production,42
Hoops Blend,2024,June,United States Production,70.70175
Heavy Louisiana Sweet,2024,June,United States Production,30
Eagle Ford,2024,June,United States Production,1101.114976
Bakken,2024,June,United States Production,1181
Alaska North Slope,2024,June,United States Production,419
West Texas Sour,2024,July,United States Production,926.137569
West Texas Light,2024,July,United States Production,714.698094
West Texas Intermediate (Midland),2024,July,United States Production,2969.874999
West Texas Intermediate,2024,July,United States Production,2254.169326
Total,2024,July,United States Production,13205
Thunder Horse,2024,July,United States Production,128.3931
Southern Green Canyon,2024,July,United States Production,168.3
Poseidon,2024,July,United States Production,196.02
Other Crudes - United States,2024,July,United States Production,2814.872917
Mars Blend,2024,July,United States Production,224.61
Light Louisiana Sweet,2024,July,United States Production,42
Hoops Blend,2024,July,United States Production,71.055259
Heavy Louisiana Sweet,2024,July,United States Production,30
Eagle Ford,2024,July,United States Production,1088.868736
Bakken,2024,July,United States Production,1161
Alaska North Slope,2024,July,United States Production,415
West Texas Sour,2024,August,United States Production,926.137569
West Texas Light,2024,August,United States Production,714.698094
West Texas Intermediate (Midland),2024,August,United States Production,2969.874999
West Texas Intermediate,2024,August,United States Production,2254.169326
Total,2024,August,United States Production,13401
Thunder Horse,2024,August,United States Production,128.3931
Southern Green Canyon,2024,August,United States Production,168.3
Poseidon,2024,August,United States Production,196.02
Other Crudes - United States,2024,August,United States Production,2995.872917
Mars Blend,2024,August,United States Production,224.61
Light Louisiana Sweet,2024,August,United States Production,42
Hoops Blend,2024,August,United States Production,71.055259
Heavy Louisiana Sweet,2024,August,United States Production,30
Eagle Ford,2024,August,United States Production,1088.868736
Bakken,2024,August,United States Production,1176
Alaska North Slope,2024,August,United States Production,415
West Texas Sour,2024,September,United States Production,926.137569
West Texas Light,2024,September,United States Production,714.698094
West Texas Intermediate (Midland),2024,September,United States Production,2969.874999
West Texas Intermediate,2024,September,United States Production,2254.169326
Total,2024,September,United States Production,13204
Thunder Horse,2024,September,United States Production,128.3931
Southern Green Canyon,2024,September,United States Production,168.3
Poseidon,2024,September,United States Production,196.02
Other Crudes - United States,2024,September,United States Production,2766.872917
Mars Blend,2024,September,United States Production,224.61
Light Louisiana Sweet,2024,September,United States Production,42
Hoops Blend,2024,September,United States Production,71.055259
Heavy Louisiana Sweet,2024,September,United States Production,30
Eagle Ford,2024,September,United States Production,1088.868736
Bakken,2024,September,United States Production,1205
Alaska North Slope,2024,September,United States Production,415
West Texas Sour,2024,October,United States Production,957.355689
West Texas Light,2024,October,United States Production,765.345991
West Texas Intermediate (Midland),2024,October,United States Production,3078.144554
West Texas Intermediate,2024,October,United States Production,2336.347165
Total,2024,October,United States Production,13457
Thunder Horse,2024,October,United States Production,128.3931
Southern Green Canyon,2024,October,United States Production,168.3
Poseidon,2024,October,United States Production,199.9404
Other Crudes - United States,2024,October,United States Production,2774.72644
Mars Blend,2024,October,United States Production,219.91
Light Louisiana Sweet,2024,October,United States Production,42
Hoops Blend,2024,October,United States Production,71.410535
Heavy Louisiana Sweet,2024,October,United States Production,30
Eagle Ford,2024,October,United States Production,1112.126126
Bakken,2024,October,United States Production,1161
Alaska North Slope,2024,October,United States Production,412
West Texas Sour,2024,November,United States Production,957.355689
West Texas Light,2024,November,United States Production,765.345991
West Texas Intermediate (Midland),2024,November,United States Production,3078.144554
West Texas Intermediate,2024,November,United States Production,2336.347165
Total,2024,November,United States Production,13396
Thunder Horse,2024,November,United States Production,128.3931
Southern Green Canyon,2024,November,United States Production,168.3
Poseidon,2024,November,United States Production,199.9404
Other Crudes - United States,2024,November,United States Production,2669.72644
Mars Blend,2024,November,United States Production,219.91
Light Louisiana Sweet,2024,November,United States Production,42
Hoops Blend,2024,November,United States Production,71.410535
Heavy Louisiana Sweet,2024,November,United States Production,30
Eagle Ford,2024,November,United States Production,1112.126126
Bakken,2024,November,United States Production,1205
Alaska North Slope,2024,November,United States Production,412
West Texas Sour,2024,December,United States Production,957.355689
West Texas Light,2024,December,United States Production,765.345991
West Texas Intermediate (Midland),2024,December,United States Production,3078.144554
West Texas Intermediate,2024,December,United States Production,2336.347165
Total,2024,December,United States Production,13438
Thunder Horse,2024,December,United States Production,128.3931
Southern Green Canyon,2024,December,United States Production,168.3
Poseidon,2024,December,United States Production,199.9404
Other Crudes - United States,2024,December,United States Production,2743.72644
Mars Blend,2024,December,United States Production,219.91
Light Louisiana Sweet,2024,December,United States Production,42
Hoops Blend,2024,December,United States Production,71.410535
Heavy Louisiana Sweet,2024,December,United States Production,30
Eagle Ford,2024,December,United States Production,1112.126126
Bakken,2024,December,United States Production,1173
Alaska North Slope,2024,December,United States Production,412
West Texas Sour,2023,January,United States Production,902.978399
West Texas Light,2023,January,United States Production,650.010405
West Texas Intermediate (Midland),2023,January,United States Production,2794.925083
West Texas Intermediate,2023,January,United States Production,1855.020997
Total,2023,January,United States Production,12611
Thunder Horse,2023,January,United States Production,131
Southern Green Canyon,2023,January,United States Production,167
Poseidon,2023,January,United States Production,203
Other Crudes - United States,2023,January,United States Production,3001.474176
Mars Blend,2023,January,United States Production,227.335353
Light Louisiana Sweet,2023,January,United States Production,43
Hoops Blend,2023,January,United States Production,72
Heavy Louisiana Sweet,2023,January,United States Production,32
Eagle Ford,2023,January,United States Production,1048.296161
Bakken,2023,January,United States Production,1053
Alaska North Slope,2023,January,United States Production,429.959426
West Texas Sour,2023,February,United States Production,907.014039
West Texas Light,2023,February,United States Production,657.245459
West Texas Intermediate (Midland),2023,February,United States Production,2837.239277
West Texas Intermediate,2023,February,United States Production,1883.527123
Total,2023,February,United States Production,12591
Thunder Horse,2023,February,United States Production,131
Southern Green Canyon,2023,February,United States Production,167
Poseidon,2023,February,United States Production,202
Other Crudes - United States,2023,February,United States Production,2807.313723
Mars Blend,2023,February,United States Production,226.096026
Light Louisiana Sweet,2023,February,United States Production,42
Hoops Blend,2023,February,United States Production,71
Heavy Louisiana Sweet,2023,February,United States Production,31
Eagle Ford,2023,February,United States Production,1052.601421
Bakken,2023,February,United States Production,1147
Alaska North Slope,2023,February,United States Production,428.962933
West Texas Sour,2023,March,United States Production,911.067715
West Texas Light,2023,March,United States Production,664.561044
West Texas Intermediate (Midland),2023,March,United States Production,2880.194093
West Texas Intermediate,2023,March,United States Production,1912.471303
Total,2023,March,United States Production,12815
Thunder Horse,2023,March,United States Production,130
Southern Green Canyon,2023,March,United States Production,166
Poseidon,2023,March,United States Production,201
Other Crudes - United States,2023,March,United States Production,2984.949279
Mars Blend,2023,March,United States Production,224.863455
Light Louisiana Sweet,2023,March,United States Production,41
Hoops Blend,2023,March,United States Production,71
Heavy Louisiana Sweet,2023,March,United States Production,31
Eagle Ford,2023,March,United States Production,1056.924362
Bakken,2023,March,United States Production,1112
Alaska North Slope,2023,March,United States Production,427.968749
West Texas Sour,2023,April,United States Production,915.139508
West Texas Light,2023,April,United States Production,671.958057
West Texas Intermediate (Midland),2023,April,United States Production,2923.799231
West Texas Intermediate,2023,April,United States Production,1941.860268
Total,2023,April,United States Production,12680
Thunder Horse,2023,April,United States Production,130
Southern Green Canyon,2023,April,United States Production,166
Poseidon,2023,April,United States Production,200
Other Crudes - United States,2023,April,United States Production,2755.363407
Mars Blend,2023,April,United States Production,223.637603
Light Louisiana Sweet,2023,April,United States Production,41
Hoops Blend,2023,April,United States Production,70
Heavy Louisiana Sweet,2023,April,United States Production,31
Eagle Ford,2023,April,United States Production,1061.265057
Bakken,2023,April,United States Production,1122
Alaska North Slope,2023,April,United States Production,426.976869
West Texas Sour,2023,May,United States Production,919.2295
West Texas Light,2023,May,United States Production,679.437403
West Texas Intermediate (Midland),2023,May,United States Production,2968.064535
West Texas Intermediate,2023,May,United States Production,1971.700854
Total,2023,May,United States Production,12730
Thunder Horse,2023,May,United States Production,130
Southern Green Canyon,2023,May,United States Production,165
Poseidon,2023,May,United States Production,200
Other Crudes - United States,2023,May,United States Production,2715.538408
Mars Blend,2023,May,United States Production,222.418435
Light Louisiana Sweet,2023,May,United States Production,40
Hoops Blend,2023,May,United States Production,70
Heavy Louisiana Sweet,2023,May,United States Production,30
Eagle Ford,2023,May,United States Production,1065.623578
Bakken,2023,May,United States Production,1127
Alaska North Slope,2023,May,United States Production,425.987288
West Texas Sour,2023,June,United States Production,923.33777
West Texas Light,2023,June,United States Production,687
West Texas Intermediate (Midland),2023,June,United States Production,3013
West Texas Intermediate,2023,June,United States Production,2002
Total,2023,June,United States Production,12866
Thunder Horse,2023,June,United States Production,130
Southern Green Canyon,2023,June,United States Production,165
Poseidon,2023,June,United States Production,200
Other Crudes - United States,2023,June,United States Production,2729.456318
Mars Blend,2023,June,United States Production,221.205912
Light Louisiana Sweet,2023,June,United States Production,40
Hoops Blend,2023,June,United States Production,70
Heavy Louisiana Sweet,2023,June,United States Production,30
Eagle Ford,2023,June,United States Production,1070
Bakken,2023,June,United States Production,1160
Alaska North Slope,2023,June,United States Production,425
West Texas Sour,2023,July,United States Production,927.464401
West Texas Light,2023,July,United States Production,687
West Texas Intermediate (Midland),2023,July,United States Production,3015
West Texas Intermediate,2023,July,United States Production,2002
Total,2023,July,United States Production,12935
Thunder Horse,2023,July,United States Production,129
Southern Green Canyon,2023,July,United States Production,165
Poseidon,2023,July,United States Production,200
Other Crudes - United States,2023,July,United States Production,2785.520598
Mars Blend,2023,July,United States Production,220
Light Louisiana Sweet,2023,July,United States Production,39
Hoops Blend,2023,July,United States Production,70
Heavy Louisiana Sweet,2023,July,United States Production,28
Eagle Ford,2023,July,United States Production,1070
Bakken,2023,July,United States Production,1173
Alaska North Slope,2023,July,United States Production,424.015001
West Texas Sour,2023,August,United States Production,931.609476
West Texas Light,2023,August,United States Production,694.562597
West Texas Intermediate (Midland),2023,August,United States Production,3059.965293
West Texas Intermediate,2023,August,United States Production,2032.299146
Total,2023,August,United States Production,13047
Thunder Horse,2023,August,United States Production,129
Southern Green Canyon,2023,August,United States Production,164
Poseidon,2023,August,United States Production,199
Other Crudes - United States,2023,August,United States Production,2773.154783
Mars Blend,2023,August,United States Production,220
Light Louisiana Sweet,2023,August,United States Production,39
Hoops Blend,2023,August,United States Production,71
Heavy Louisiana Sweet,2023,August,United States Production,29
Eagle Ford,2023,August,United States Production,1074.376422
Bakken,2023,August,United States Production,1207
Alaska North Slope,2023,August,United States Production,423.032284
West Texas Sour,2023,September,United States Production,935.773075
West Texas Light,2023,September,United States Production,702.208443
West Texas Intermediate (Midland),2023,September,United States Production,3105.601192
West Texas Intermediate,2023,September,United States Production,2063.056853
Total,2023,September,United States Production,13177
Thunder Horse,2023,September,United States Production,129
Southern Green Canyon,2023,September,United States Production,164
Poseidon,2023,September,United States Production,199
Other Crudes - United States,2023,September,United States Production,2735.74376
Mars Blend,2023,September,United States Production,218.794088
Light Louisiana Sweet,2023,September,United States Production,38
Hoops Blend,2023,September,United States Production,70
Heavy Louisiana Sweet,2023,September,United States Production,28
Eagle Ford,2023,September,United States Production,1078.770743
Bakken,2023,September,United States Production,1287
Alaska North Slope,2023,September,United States Production,422.051845
West Texas Sour,2023,October,United States Production,939.955283
West Texas Light,2023,October,United States Production,709.938457
West Texas Intermediate (Midland),2023,October,United States Production,3151.917699
West Texas Intermediate,2023,October,United States Production,2094.280061
Total,2023,October,United States Production,13149
Thunder Horse,2023,October,United States Production,130
Southern Green Canyon,2023,October,United States Production,164
Poseidon,2023,October,United States Production,200
Other Crudes - United States,2023,October,United States Production,2646.056998
Mars Blend,2023,October,United States Production,217.594786
Light Louisiana Sweet,2023,October,United States Production,39
Hoops Blend,2023,October,United States Production,70
Heavy Louisiana Sweet,2023,October,United States Production,29
Eagle Ford,2023,October,United States Production,1083.183039
Bakken,2023,October,United States Production,1253
Alaska North Slope,2023,October,United States Production,421.073679
West Texas Sour,2023,November,United States Production,944.156182
West Texas Light,2023,November,United States Production,717.753563
West Texas Intermediate (Midland),2023,November,United States Production,3198.924964
West Texas Intermediate,2023,November,United States Production,2125.975814
Total,2023,November,United States Production,13281
Thunder Horse,2023,November,United States Production,130
Southern Green Canyon,2023,November,United States Production,165
Poseidon,2023,November,United States Production,200
Other Crudes - United States,2023,November,United States Production,2657.07626
Mars Blend,2023,November,United States Production,216.402057
Light Louisiana Sweet,2023,November,United States Production,40
Hoops Blend,2023,November,United States Production,70
Heavy Louisiana Sweet,2023,November,United States Production,30
Eagle Ford,2023,November,United States Production,1087.61338
Bakken,2023,November,United States Production,1278
Alaska North Slope,2023,November,United States Production,420.097779
West Texas Sour,2023,December,United States Production,948.375856
West Texas Light,2023,December,United States Production,725.654699
West Texas Intermediate (Midland),2023,December,United States Production,3246.633288
West Texas Intermediate,2023,December,United States Production,2158.151265
Total,2023,December,United States Production,13308
Thunder Horse,2023,December,United States Production,130
Southern Green Canyon,2023,December,United States Production,165
Poseidon,2023,December,United States Production,200
Other Crudes - United States,2023,December,United States Production,2592.78304
Mars Blend,2023,December,United States Production,215.215867
Light Louisiana Sweet,2023,December,United States Production,40
Hoops Blend,2023,December,United States Production,70
Heavy Louisiana Sweet,2023,December,United States Production,30
Eagle Ford,2023,December,United States Production,1092.061843
Bakken,2023,December,United States Production,1275
Alaska North Slope,2023,December,United States Production,419.124141
West Texas Sour,2022,January,United States Production,859.39544
West Texas Light,2022,January,United States Production,561.364162
West Texas Intermediate (Midland),2022,January,United States Production,2496.60194
West Texas Intermediate,2022,January,United States Production,1590.944581
Total,2022,January,United States Production,11442
Thunder Horse,2022,January,United States Production,134
Southern Green Canyon,2022,January,United States Production,166
Poseidon,2022,January,United States Production,205
Other Crudes - United States,2022,January,United States Production,2542.940214
Mars Blend,2022,January,United States Production,223.386205
Light Louisiana Sweet,2022,January,United States Production,44
Hoops Blend,2022,January,United States Production,70
Heavy Louisiana Sweet,2022,January,United States Production,29
Eagle Ford,2022,January,United States Production,998.279875
Bakken,2022,January,United States Production,1079
Alaska North Slope,2022,January,United States Production,442.087584
West Texas Sour,2022,February,United States Production,863.281057
West Texas Light,2022,February,United States Production,573.381683
West Texas Intermediate (Midland),2022,February,United States Production,2513.9498
West Texas Intermediate,2022,February,United States Production,1615.392642
Total,2022,February,United States Production,11467
Thunder Horse,2022,February,United States Production,133
Southern Green Canyon,2022,February,United States Production,166
Poseidon,2022,February,United States Production,205
Other Crudes - United States,2022,February,United States Production,2502.139576
Mars Blend,2022,February,United States Production,225.006803
Light Louisiana Sweet,2022,February,United States Production,43
Hoops Blend,2022,February,United States Production,70
Heavy Louisiana Sweet,2022,February,United States Production,30
Eagle Ford,2022,February,United States Production,1002.783088
Bakken,2022,February,United States Production,1083
Alaska North Slope,2022,February,United States Production,441.06535
West Texas Sour,2022,March,United States Production,867.184241
West Texas Light,2022,March,United States Production,585.656472
West Texas Intermediate (Midland),2022,March,United States Production,2531.418204
West Texas Intermediate,2022,March,United States Production,1640.216397
Total,2022,March,United States Production,11875
Thunder Horse,2022,March,United States Production,132
Southern Green Canyon,2022,March,United States Production,167
Poseidon,2022,March,United States Production,204
Other Crudes - United States,2022,March,United States Production,2813.533431
Mars Blend,2022,March,United States Production,226.639158
Light Louisiana Sweet,2022,March,United States Production,42
Hoops Blend,2022,March,United States Production,71
Heavy Louisiana Sweet,2022,March,United States Production,30
Eagle Ford,2022,March,United States Production,1007.306616
Bakken,2022,March,United States Production,1117
Alaska North Slope,2022,March,United States Production,440.045481
West Texas Sour,2022,April,United States Production,871.105073
West Texas Light,2022,April,United States Production,598.194036
West Texas Intermediate (Midland),2022,April,United States Production,2549.007988
West Texas Intermediate,2022,April,United States Production,1665.421618
Total,2022,April,United States Production,11812
Thunder Horse,2022,April,United States Production,132
Southern Green Canyon,2022,April,United States Production,168
Poseidon,2022,April,United States Production,204
Other Crudes - United States,2022,April,United States Production,2902.10941
Mars Blend,2022,April,United States Production,228.283356
Light Louisiana Sweet,2022,April,United States Production,43
Hoops Blend,2022,April,United States Production,72
Heavy Louisiana Sweet,2022,April,United States Production,29
Eagle Ford,2022,April,United States Production,1011.850549
Bakken,2022,April,United States Production,899
Alaska North Slope,2022,April,United States Production,439.02797
West Texas Sour,2022,May,United States Production,875.043633
West Texas Light,2022,May,United States Production,611
West Texas Intermediate (Midland),2022,May,United States Production,2566.719997
West Texas Intermediate,2022,May,United States Production,1691.014169
Total,2022,May,United States Production,11742
Thunder Horse,2022,May,United States Production,131
Southern Green Canyon,2022,May,United States Production,168
Poseidon,2022,May,United States Production,203
Other Crudes - United States,2022,May,United States Production,2615.85493
Mars Blend,2022,May,United States Production,229.939481
Light Louisiana Sweet,2022,May,United States Production,44
Hoops Blend,2022,May,United States Production,72
Heavy Louisiana Sweet,2022,May,United States Production,30
Eagle Ford,2022,May,United States Production,1016.414979
Bakken,2022,May,United States Production,1050
Alaska North Slope,2022,May,United States Production,438.012811
West Texas Sour,2022,June,United States Production,879
West Texas Light,2022,June,United States Production,611
West Texas Intermediate (Midland),2022,June,United States Production,2584.555079
West Texas Intermediate,2022,June,United States Production,1717
Total,2022,June,United States Production,11913
Thunder Horse,2022,June,United States Production,131
Southern Green Canyon,2022,June,United States Production,168
Poseidon,2022,June,United States Production,203
Other Crudes - United States,2022,June,United States Production,2698.444921
Mars Blend,2022,June,United States Production,230
Light Louisiana Sweet,2022,June,United States Production,44
Hoops Blend,2022,June,United States Production,71
Heavy Louisiana Sweet,2022,June,United States Production,31
Eagle Ford,2022,June,United States Production,1021
Bakken,2022,June,United States Production,1087
Alaska North Slope,2022,June,United States Production,437
West Texas Sour,2022,July,United States Production,879
West Texas Light,2022,July,United States Production,611
West Texas Intermediate (Midland),2022,July,United States Production,2588
West Texas Intermediate,2022,July,United States Production,1717
Total,2022,July,United States Production,11992
Thunder Horse,2022,July,United States Production,131
Southern Green Canyon,2022,July,United States Production,169
Poseidon,2022,July,United States Production,204
Other Crudes - United States,2022,July,United States Production,2799.012811
Mars Blend,2022,July,United States Production,230
Light Louisiana Sweet,2022,July,United States Production,44
Hoops Blend,2022,July,United States Production,71
Heavy Louisiana Sweet,2022,July,United States Production,31
Eagle Ford,2022,July,United States Production,1021
Bakken,2022,July,United States Production,1061
Alaska North Slope,2022,July,United States Production,435.987189
West Texas Sour,2022,August,United States Production,882.956367
West Texas Light,2022,August,United States Production,611
West Texas Intermediate (Midland),2022,August,United States Production,2605.982948
West Texas Intermediate,2022,August,United States Production,1742.985831
Total,2022,August,United States Production,12123
Thunder Horse,2022,August,United States Production,130
Southern Green Canyon,2022,August,United States Production,169
Poseidon,2022,August,United States Production,204
Other Crudes - United States,2022,August,United States Production,2876.092231
Mars Blend,2022,August,United States Production,230.420877
