Country,Sector,Year of Date,Month of Date,Unit,Value
Austria,Power,2023,June,Million Cubic Meter,19.013905
Austria,Industrial,2023,June,Million Cubic Meter,151.103026
Austria,Household,2023,June,Million Cubic Meter,176.79516
Austria,Power,2023,July,Million Cubic Meter,32.102286
Austria,Industrial,2023,July,Million Cubic Meter,152.095505
Austria,Household,2023,July,Million Cubic Meter,177.956392
Austria,Power,2023,August,Million Cubic Meter,18.68019
Austria,Industrial,2023,August,Million Cubic Meter,142.193858
Austria,Household,2023,August,Million Cubic Meter,166.371162
Austria,Power,2023,September,Million Cubic Meter,61.596571
Austria,Industrial,2023,September,Million Cubic Meter,167.417939
Austria,Household,2023,September,Million Cubic Meter,212.367006
Austria,Power,2023,October,Million Cubic Meter,87.060406
Austria,Industrial,2023,October,Million Cubic Meter,198.707414
Austria,Household,2023,October,Million Cubic Meter,323.076759
Austria,Power,2023,November,Million Cubic Meter,144.95919
Austria,Industrial,2023,November,Million Cubic Meter,249.707951
Austria,Household,2023,November,Million Cubic Meter,528.627614
Austria,Power,2023,December,Million Cubic Meter,182.791952
Austria,Industrial,2023,December,Million Cubic Meter,266.045999
Austria,Household,2023,December,Million Cubic Meter,681.333663
Austria,Power,2022,January,Million Cubic Meter,303.876952
Austria,Industrial,2022,January,Million Cubic Meter,357.336763
Austria,Household,2022,January,Million Cubic Meter,870.569766
Austria,Power,2022,February,Million Cubic Meter,244.95981
Austria,Industrial,2022,February,Million Cubic Meter,308.390558
Austria,Household,2022,February,Million Cubic Meter,683.177504
Austria,Power,2022,March,Million Cubic Meter,279.440762
Austria,Industrial,2022,March,Million Cubic Meter,328.700281
Austria,Household,2022,March,Million Cubic Meter,695.246666
Austria,Power,2022,April,Million Cubic Meter,137.602476
Austria,Industrial,2022,April,Million Cubic Meter,260.102236
Austria,Household,2022,April,Million Cubic Meter,460.376628
Austria,Power,2022,May,Million Cubic Meter,100.946857
Austria,Industrial,2022,May,Million Cubic Meter,205.698013
Austria,Household,2022,May,Million Cubic Meter,271.545163
Austria,Power,2022,June,Million Cubic Meter,41.72819
Austria,Industrial,2022,June,Million Cubic Meter,173.254467
Austria,Household,2022,June,Million Cubic Meter,206.004967
Austria,Power,2022,July,Million Cubic Meter,45.698476
Austria,Industrial,2022,July,Million Cubic Meter,160.378498
Austria,Household,2022,July,Million Cubic Meter,191.778538
Austria,Power,2022,August,Million Cubic Meter,44.007429
Austria,Industrial,2022,August,Million Cubic Meter,149.832296
Austria,Household,2022,August,Million Cubic Meter,175.174365
Austria,Power,2022,September,Million Cubic Meter,124.077905
Austria,Industrial,2022,September,Million Cubic Meter,212.417812
Austria,Household,2022,September,Million Cubic Meter,269.241033
Austria,Power,2022,October,Million Cubic Meter,134.345524
Austria,Industrial,2022,October,Million Cubic Meter,217.340464
Austria,Household,2022,October,Million Cubic Meter,353.087485
Austria,Power,2022,November,Million Cubic Meter,225.281524
Austria,Industrial,2022,November,Million Cubic Meter,266.657686
Austria,Household,2022,November,Million Cubic Meter,564.017974
Austria,Power,2022,December,Million Cubic Meter,247.774095
Austria,Industrial,2022,December,Million Cubic Meter,280.860139
Austria,Household,2022,December,Million Cubic Meter,718.595898
Austria,Power,2021,January,Million Cubic Meter,280.216952
Austria,Industrial,2021,January,Million Cubic Meter,336.758751
Austria,Household,2021,January,Million Cubic Meter,944.26753
Austria,Power,2021,February,Million Cubic Meter,219.051429
Austria,Industrial,2021,February,Million Cubic Meter,294.18812
Austria,Household,2021,February,Million Cubic Meter,752.047137
Austria,Power,2021,March,Million Cubic Meter,212.395238
Austria,Industrial,2021,March,Million Cubic Meter,298.682374
Austria,Household,2021,March,Million Cubic Meter,727.894855
Austria,Power,2021,April,Million Cubic Meter,161.527429
Austria,Industrial,2021,April,Million Cubic Meter,281.459518
Austria,Household,2021,April,Million Cubic Meter,566.646103
Austria,Power,2021,May,Million Cubic Meter,61.823238
Austria,Industrial,2021,May,Million Cubic Meter,231.975746
Austria,Household,2021,May,Million Cubic Meter,343.815046
Austria,Power,2021,June,Million Cubic Meter,35.44381
Austria,Industrial,2021,June,Million Cubic Meter,177.159565
Austria,Household,2021,June,Million Cubic Meter,233.346324
Austria,Power,2021,July,Million Cubic Meter,38.510476
Austria,Industrial,2021,July,Million Cubic Meter,173.008038
Austria,Household,2021,July,Million Cubic Meter,230.417681
Austria,Power,2021,August,Million Cubic Meter,32.582476
Austria,Industrial,2021,August,Million Cubic Meter,172.392281
Austria,Household,2021,August,Million Cubic Meter,229.617791
Austria,Power,2021,September,Million Cubic Meter,56.115048
Austria,Industrial,2021,September,Million Cubic Meter,195.710356
Austria,Household,2021,September,Million Cubic Meter,278.30003
Austria,Power,2021,October,Million Cubic Meter,178.606667
Austria,Industrial,2021,October,Million Cubic Meter,275.478958
Austria,Household,2021,October,Million Cubic Meter,512.104831
Austria,Power,2021,November,Million Cubic Meter,310.134286
Austria,Industrial,2021,November,Million Cubic Meter,322.994641
Austria,Household,2021,November,Million Cubic Meter,779.820285
Austria,Power,2021,December,Million Cubic Meter,294.203619
Austria,Industrial,2021,December,Million Cubic Meter,303.709538
Austria,Household,2021,December,Million Cubic Meter,900.951397
Austria,Power,2020,January,Million Cubic Meter,338.369714
Austria,Industrial,2020,January,Million Cubic Meter,347.559397
Austria,Household,2020,January,Million Cubic Meter,960.993109
Austria,Power,2020,February,Million Cubic Meter,187.937905
Austria,Industrial,2020,February,Million Cubic Meter,275.075791
Austria,Household,2020,February,Million Cubic Meter,683.594312
Austria,Power,2020,March,Million Cubic Meter,180.788
Austria,Industrial,2020,March,Million Cubic Meter,274.307521
Austria,Household,2020,March,Million Cubic Meter,650.663244
Austria,Power,2020,April,Million Cubic Meter,83.92819
Austria,Industrial,2020,April,Million Cubic Meter,202.692426
Austria,Household,2020,April,Million Cubic Meter,402.257068
Austria,Power,2020,May,Million Cubic Meter,31.993714
Austria,Industrial,2020,May,Million Cubic Meter,196.462424
Austria,Household,2020,May,Million Cubic Meter,289.21131
Austria,Power,2020,June,Million Cubic Meter,32.743048
Austria,Industrial,2020,June,Million Cubic Meter,173.882099
Austria,Household,2020,June,Million Cubic Meter,228.313961
Austria,Power,2020,July,Million Cubic Meter,85.953143
Austria,Industrial,2020,July,Million Cubic Meter,189.097143
Austria,Household,2020,July,Million Cubic Meter,246.855513
Austria,Power,2020,August,Million Cubic Meter,80.255619
Austria,Industrial,2020,August,Million Cubic Meter,184.103806
Austria,Household,2020,August,Million Cubic Meter,239.586928
Austria,Power,2020,September,Million Cubic Meter,77.927238
Austria,Industrial,2020,September,Million Cubic Meter,205.170059
Austria,Household,2020,September,Million Cubic Meter,290.300583
Austria,Power,2020,October,Million Cubic Meter,145.828
Austria,Industrial,2020,October,Million Cubic Meter,282.306074
Austria,Household,2020,October,Million Cubic Meter,511.567128
Austria,Power,2020,November,Million Cubic Meter,220.865143
Austria,Industrial,2020,November,Million Cubic Meter,297.045971
Austria,Household,2020,November,Million Cubic Meter,707.82528
Austria,Power,2020,December,Million Cubic Meter,275.281143
Austria,Industrial,2020,December,Million Cubic Meter,305.813352
Austria,Household,2020,December,Million Cubic Meter,888.486321
Austria,Power,2019,January,Million Cubic Meter,308.529333
Austria,Industrial,2019,January,Million Cubic Meter,347.616072
Austria,Household,2019,January,Million Cubic Meter,966.383928
Austria,Power,2019,February,Million Cubic Meter,242.517714
Austria,Industrial,2019,February,Million Cubic Meter,285.97074
Austria,Household,2019,February,Million Cubic Meter,719.02926
Austria,Power,2019,March,Million Cubic Meter,134.392952
Austria,Industrial,2019,March,Million Cubic Meter,244.47484
Austria,Household,2019,March,Million Cubic Meter,585.52516
Austria,Power,2019,April,Million Cubic Meter,106.374286
Austria,Industrial,2019,April,Million Cubic Meter,224.14716
Austria,Household,2019,April,Million Cubic Meter,445.85284
Austria,Power,2019,May,Million Cubic Meter,31.92
Austria,Industrial,2019,May,Million Cubic Meter,237.469676
Austria,Household,2019,May,Million Cubic Meter,349.530324
Austria,Power,2019,June,Million Cubic Meter,46.19181
Austria,Industrial,2019,June,Million Cubic Meter,179.033776
Austria,Household,2019,June,Million Cubic Meter,232.966224
Austria,Power,2019,July,Million Cubic Meter,97.946667
Austria,Industrial,2019,July,Million Cubic Meter,196.850244
Austria,Household,2019,July,Million Cubic Meter,256.149756
Austria,Power,2019,August,Million Cubic Meter,139.665905
Austria,Industrial,2019,August,Million Cubic Meter,215.535808
Austria,Household,2019,August,Million Cubic Meter,280.464192
Austria,Power,2019,September,Million Cubic Meter,186.156952
Austria,Industrial,2019,September,Million Cubic Meter,265.725268
Austria,Household,2019,September,Million Cubic Meter,375.274732
Austria,Power,2019,October,Million Cubic Meter,237.171429
Austria,Industrial,2019,October,Million Cubic Meter,286.829332
Austria,Household,2019,October,Million Cubic Meter,522.170668
Austria,Power,2019,November,Million Cubic Meter,234.716952
Austria,Industrial,2019,November,Million Cubic Meter,284.13151
Austria,Household,2019,November,Million Cubic Meter,677.939372
Austria,Power,2019,December,Million Cubic Meter,238.788381
Austria,Industrial,2019,December,Million Cubic Meter,277.202772
Austria,Household,2019,December,Million Cubic Meter,811.797228
Belgium,Power,2024,January,Million Cubic Meter,273.192139
Belgium,Industrial,2024,January,Million Cubic Meter,344.499817
Belgium,Household,2024,January,Million Cubic Meter,1245.224487
Belgium,Power,2024,February,Million Cubic Meter,155.535263
Belgium,Industrial,2024,February,Million Cubic Meter,318.97699
Belgium,Household,2024,February,Million Cubic Meter,844.739197
Belgium,Power,2024,March,Million Cubic Meter,190.241028
Belgium,Industrial,2024,March,Million Cubic Meter,327.695282
Belgium,Household,2024,March,Million Cubic Meter,762.560486
Belgium,Power,2024,April,Million Cubic Meter,141.731155
Belgium,Industrial,2024,April,Million Cubic Meter,325.707275
Belgium,Household,2024,April,Million Cubic Meter,589.005615
Belgium,Power,2024,May,Million Cubic Meter,126.071266
Belgium,Industrial,2024,May,Million Cubic Meter,297.313904
Belgium,Household,2024,May,Million Cubic Meter,342.818848
Belgium,Power,2024,June,Million Cubic Meter,141.295181
Belgium,Industrial,2024,June,Million Cubic Meter,274.846436
Belgium,Household,2024,June,Million Cubic Meter,295.441589
Belgium,Power,2024,July,Million Cubic Meter,130.672043
Belgium,Industrial,2024,July,Million Cubic Meter,285.92041
Belgium,Household,2024,July,Million Cubic Meter,228.105621
Belgium,Power,2024,August,Million Cubic Meter,116.30584
Belgium,Industrial,2024,August,Million Cubic Meter,289.404846
Belgium,Household,2024,August,Million Cubic Meter,212.453018
Belgium,Power,2024,September,Million Cubic Meter,129.167786
Belgium,Industrial,2024,September,Million Cubic Meter,308.484192
Belgium,Household,2024,September,Million Cubic Meter,299.907898
Belgium,Power,2024,October,Million Cubic Meter,145.841827
Belgium,Industrial,2024,October,Million Cubic Meter,316.527863
Belgium,Household,2024,October,Million Cubic Meter,504.122314
Belgium,Power,2024,November,Million Cubic Meter,303.113159
Belgium,Industrial,2024,November,Million Cubic Meter,320.77298
Belgium,Household,2024,November,Million Cubic Meter,857.376404
Belgium,Power,2024,December,Million Cubic Meter,230.295181
Belgium,Industrial,2024,December,Million Cubic Meter,332.497009
Belgium,Household,2024,December,Million Cubic Meter,1038.858643
Belgium,Power,2023,January,Million Cubic Meter,305.048126
Belgium,Industrial,2023,January,Million Cubic Meter,298.387085
Belgium,Household,2023,January,Million Cubic Meter,1067.603638
Belgium,Power,2023,February,Million Cubic Meter,342.571869
Belgium,Industrial,2023,February,Million Cubic Meter,282.469788
Belgium,Household,2023,February,Million Cubic Meter,910.08905
Belgium,Power,2023,March,Million Cubic Meter,304.737823
Belgium,Industrial,2023,March,Million Cubic Meter,314.859222
Belgium,Household,2023,March,Million Cubic Meter,899.81488
Belgium,Power,2023,April,Million Cubic Meter,225.889267
Belgium,Industrial,2023,April,Million Cubic Meter,274.888428
Belgium,Household,2023,April,Million Cubic Meter,659.078857
Belgium,Power,2023,May,Million Cubic Meter,185.954025
Belgium,Industrial,2023,May,Million Cubic Meter,254.803528
Belgium,Household,2023,May,Million Cubic Meter,371.753967
Belgium,Power,2023,June,Million Cubic Meter,258.603394
Belgium,Industrial,2023,June,Million Cubic Meter,247.613235
Belgium,Household,2023,June,Million Cubic Meter,238.829926
Belgium,Power,2023,July,Million Cubic Meter,205.172913
Belgium,Industrial,2023,July,Million Cubic Meter,270.140137
Belgium,Household,2023,July,Million Cubic Meter,215.325394
Belgium,Power,2023,August,Million Cubic Meter,225.9505
Belgium,Industrial,2023,August,Million Cubic Meter,268.320221
Belgium,Household,2023,August,Million Cubic Meter,239.181473
Belgium,Power,2023,September,Million Cubic Meter,218.653122
Belgium,Industrial,2023,September,Million Cubic Meter,280.636414
Belgium,Household,2023,September,Million Cubic Meter,249.206329
Belgium,Power,2023,October,Million Cubic Meter,163.611359
Belgium,Industrial,2023,October,Million Cubic Meter,306.081512
Belgium,Household,2023,October,Million Cubic Meter,445.864319
Belgium,Power,2023,November,Million Cubic Meter,177.982758
Belgium,Industrial,2023,November,Million Cubic Meter,333.260132
Belgium,Household,2023,November,Million Cubic Meter,839.40625
Belgium,Power,2023,December,Million Cubic Meter,194.414719
Belgium,Industrial,2023,December,Million Cubic Meter,337.608032
Belgium,Household,2023,December,Million Cubic Meter,979.503174
Belgium,Power,2022,January,Million Cubic Meter,381.288116
Belgium,Industrial,2022,January,Million Cubic Meter,376.368164
Belgium,Household,2022,January,Million Cubic Meter,1279.999634
Belgium,Power,2022,February,Million Cubic Meter,208.987198
Belgium,Industrial,2022,February,Million Cubic Meter,313.190002
Belgium,Household,2022,February,Million Cubic Meter,1029.04834
Belgium,Power,2022,March,Million Cubic Meter,269.872162
Belgium,Industrial,2022,March,Million Cubic Meter,288.996613
Belgium,Household,2022,March,Million Cubic Meter,851.627136
Belgium,Power,2022,April,Million Cubic Meter,192.959579
Belgium,Industrial,2022,April,Million Cubic Meter,298.657227
Belgium,Household,2022,April,Million Cubic Meter,644.072266
Belgium,Power,2022,May,Million Cubic Meter,237.023132
Belgium,Industrial,2022,May,Million Cubic Meter,306.811127
Belgium,Household,2022,May,Million Cubic Meter,344.762177
Belgium,Power,2022,June,Million Cubic Meter,250.82811
Belgium,Industrial,2022,June,Million Cubic Meter,277.685425
Belgium,Household,2022,June,Million Cubic Meter,275.387573
Belgium,Power,2022,July,Million Cubic Meter,325.15921
Belgium,Industrial,2022,July,Million Cubic Meter,242.476578
Belgium,Household,2022,July,Million Cubic Meter,220.110138
Belgium,Power,2022,August,Million Cubic Meter,381.590118
Belgium,Industrial,2022,August,Million Cubic Meter,239.867447
Belgium,Household,2022,August,Million Cubic Meter,220.334488
Belgium,Power,2022,September,Million Cubic Meter,320.526581
Belgium,Industrial,2022,September,Million Cubic Meter,247.162415
Belgium,Household,2022,September,Million Cubic Meter,309.422913
Belgium,Power,2022,October,Million Cubic Meter,341.216614
Belgium,Industrial,2022,October,Million Cubic Meter,296.08728
Belgium,Household,2022,October,Million Cubic Meter,384.445251
Belgium,Power,2022,November,Million Cubic Meter,244.246979
Belgium,Industrial,2022,November,Million Cubic Meter,281.716187
Belgium,Household,2022,November,Million Cubic Meter,684.187622
Belgium,Power,2022,December,Million Cubic Meter,368.626251
Belgium,Industrial,2022,December,Million Cubic Meter,237.968353
Belgium,Household,2022,December,Million Cubic Meter,1105.169922
Belgium,Power,2021,January,Million Cubic Meter,445.490692
Belgium,Industrial,2021,January,Million Cubic Meter,402.224915
Belgium,Household,2021,January,Million Cubic Meter,1446.08374
Belgium,Power,2021,February,Million Cubic Meter,339.518127
Belgium,Industrial,2021,February,Million Cubic Meter,378.526703
Belgium,Household,2021,February,Million Cubic Meter,1177.15625
Belgium,Power,2021,March,Million Cubic Meter,385.408234
Belgium,Industrial,2021,March,Million Cubic Meter,371.78952
Belgium,Household,2021,March,Million Cubic Meter,1058.450195
Belgium,Power,2021,April,Million Cubic Meter,379.565063
Belgium,Industrial,2021,April,Million Cubic Meter,337.720062
Belgium,Household,2021,April,Million Cubic Meter,888.025085
Belgium,Power,2021,May,Million Cubic Meter,247.003036
Belgium,Industrial,2021,May,Million Cubic Meter,312.751526
Belgium,Household,2021,May,Million Cubic Meter,619.912903
Belgium,Power,2021,June,Million Cubic Meter,277.381744
Belgium,Industrial,2021,June,Million Cubic Meter,298.229218
Belgium,Household,2021,June,Million Cubic Meter,293.180634
Belgium,Power,2021,July,Million Cubic Meter,215.494904
Belgium,Industrial,2021,July,Million Cubic Meter,334.65387
Belgium,Household,2021,July,Million Cubic Meter,270.400269
Belgium,Power,2021,August,Million Cubic Meter,176.196045
Belgium,Industrial,2021,August,Million Cubic Meter,351.322418
Belgium,Household,2021,August,Million Cubic Meter,294.958099
Belgium,Power,2021,September,Million Cubic Meter,201.963409
Belgium,Industrial,2021,September,Million Cubic Meter,313.790558
Belgium,Household,2021,September,Million Cubic Meter,326.342255
Belgium,Power,2021,October,Million Cubic Meter,207.940033
Belgium,Industrial,2021,October,Million Cubic Meter,319.370209
Belgium,Household,2021,October,Million Cubic Meter,658.089172
Belgium,Power,2021,November,Million Cubic Meter,408.065887
Belgium,Industrial,2021,November,Million Cubic Meter,330.887665
Belgium,Household,2021,November,Million Cubic Meter,1020.304321
Belgium,Power,2021,December,Million Cubic Meter,348.334778
Belgium,Industrial,2021,December,Million Cubic Meter,327.668884
Belgium,Household,2021,December,Million Cubic Meter,1192.460938
Belgium,Power,2020,January,Million Cubic Meter,432.938019
Belgium,Industrial,2020,January,Million Cubic Meter,411.745728
Belgium,Household,2020,January,Million Cubic Meter,1227.762207
Belgium,Power,2020,February,Million Cubic Meter,333.64624
Belgium,Industrial,2020,February,Million Cubic Meter,390.542236
Belgium,Household,2020,February,Million Cubic Meter,1088.046509
Belgium,Power,2020,March,Million Cubic Meter,350.38562
Belgium,Industrial,2020,March,Million Cubic Meter,379.046173
Belgium,Household,2020,March,Million Cubic Meter,1013.840576
Belgium,Power,2020,April,Million Cubic Meter,242.184387
Belgium,Industrial,2020,April,Million Cubic Meter,331.599213
Belgium,Household,2020,April,Million Cubic Meter,497.259827
Belgium,Power,2020,May,Million Cubic Meter,302.810303
Belgium,Industrial,2020,May,Million Cubic Meter,356.002441
Belgium,Household,2020,May,Million Cubic Meter,400.487793
Belgium,Power,2020,June,Million Cubic Meter,400.034546
Belgium,Industrial,2020,June,Million Cubic Meter,327.453339
Belgium,Household,2020,June,Million Cubic Meter,288.700043
Belgium,Power,2020,July,Million Cubic Meter,498.792206
Belgium,Industrial,2020,July,Million Cubic Meter,351.503754
Belgium,Household,2020,July,Million Cubic Meter,265.256042
Belgium,Power,2020,August,Million Cubic Meter,439.7547
Belgium,Industrial,2020,August,Million Cubic Meter,316.146545
Belgium,Household,2020,August,Million Cubic Meter,239.69783
Belgium,Power,2020,September,Million Cubic Meter,380.826477
Belgium,Industrial,2020,September,Million Cubic Meter,318.710693
Belgium,Household,2020,September,Million Cubic Meter,344.978851
Belgium,Power,2020,October,Million Cubic Meter,340.696106
Belgium,Industrial,2020,October,Million Cubic Meter,343.165741
Belgium,Household,2020,October,Million Cubic Meter,710.279297
Belgium,Power,2020,November,Million Cubic Meter,396.790405
Belgium,Industrial,2020,November,Million Cubic Meter,380.083191
Belgium,Household,2020,November,Million Cubic Meter,879.340881
Belgium,Power,2020,December,Million Cubic Meter,441.312897
Belgium,Industrial,2020,December,Million Cubic Meter,377.7099
Belgium,Household,2020,December,Million Cubic Meter,1204.720825
Belgium,Power,2019,January,Million Cubic Meter,504.551941
Belgium,Industrial,2019,January,Million Cubic Meter,408.300293
Belgium,Household,2019,January,Million Cubic Meter,1418.830811
Belgium,Power,2019,February,Million Cubic Meter,356.466278
Belgium,Industrial,2019,February,Million Cubic Meter,368.687256
Belgium,Household,2019,February,Million Cubic Meter,1029.068237
Belgium,Power,2019,March,Million Cubic Meter,285.154999
Belgium,Industrial,2019,March,Million Cubic Meter,383.394531
Belgium,Household,2019,March,Million Cubic Meter,951.049255
Belgium,Power,2019,April,Million Cubic Meter,295.133942
Belgium,Industrial,2019,April,Million Cubic Meter,345.693512
Belgium,Household,2019,April,Million Cubic Meter,628.640686
Belgium,Power,2019,May,Million Cubic Meter,271.778595
Belgium,Industrial,2019,May,Million Cubic Meter,371.439728
Belgium,Household,2019,May,Million Cubic Meter,533.459595
Belgium,Power,2019,June,Million Cubic Meter,321.728394
Belgium,Industrial,2019,June,Million Cubic Meter,334.610046
Belgium,Household,2019,June,Million Cubic Meter,281.813019
Belgium,Power,2019,July,Million Cubic Meter,359.996033
Belgium,Industrial,2019,July,Million Cubic Meter,310.24588
Belgium,Household,2019,July,Million Cubic Meter,238.960968
Belgium,Power,2019,August,Million Cubic Meter,322.222015
Belgium,Industrial,2019,August,Million Cubic Meter,314.359131
Belgium,Household,2019,August,Million Cubic Meter,245.428299
Belgium,Power,2019,September,Million Cubic Meter,363.879578
Belgium,Industrial,2019,September,Million Cubic Meter,351.609222
Belgium,Household,2019,September,Million Cubic Meter,342.327393
Belgium,Power,2019,October,Million Cubic Meter,462.921082
Belgium,Industrial,2019,October,Million Cubic Meter,344.915649
Belgium,Household,2019,October,Million Cubic Meter,635.577698
Belgium,Power,2019,November,Million Cubic Meter,464.277435
Belgium,Industrial,2019,November,Million Cubic Meter,379.136749
Belgium,Household,2019,November,Million Cubic Meter,1047.223755
Belgium,Power,2019,December,Million Cubic Meter,345.895782
Belgium,Industrial,2019,December,Million Cubic Meter,407.173218
Belgium,Household,2019,December,Million Cubic Meter,1192.445435
Bulgaria,Power,2024,January,Million Cubic Meter,50.916
Bulgaria,Industrial,2024,January,Million Cubic Meter,74.466372
Bulgaria,Household,2024,January,Million Cubic Meter,219.15602
Bulgaria,Power,2024,February,Million Cubic Meter,45.981143
Bulgaria,Industrial,2024,February,Million Cubic Meter,65.354509
Bulgaria,Household,2024,February,Million Cubic Meter,173.382333
Bulgaria,Power,2024,March,Million Cubic Meter,43.069077
Bulgaria,Industrial,2024,March,Million Cubic Meter,73.998734
Bulgaria,Household,2024,March,Million Cubic Meter,186.788608
Bulgaria,Power,2024,April,Million Cubic Meter,26.805524
Bulgaria,Industrial,2024,April,Million Cubic Meter,62.983897
Bulgaria,Household,2024,April,Million Cubic Meter,131.889007
Bulgaria,Power,2024,May,Million Cubic Meter,24.121524
Bulgaria,Industrial,2024,May,Million Cubic Meter,74.868587
Bulgaria,Household,2024,May,Million Cubic Meter,115.982903
Bulgaria,Power,2024,June,Million Cubic Meter,23.294476
Bulgaria,Industrial,2024,June,Million Cubic Meter,73.478309
Bulgaria,Household,2024,June,Million Cubic Meter,100.145134
Bulgaria,Power,2024,July,Million Cubic Meter,25.393714
Bulgaria,Industrial,2024,July,Million Cubic Meter,63.96494
Bulgaria,Household,2024,July,Million Cubic Meter,87.179162
Bulgaria,Power,2024,August,Million Cubic Meter,26.307238
Bulgaria,Industrial,2024,August,Million Cubic Meter,73.94258
Bulgaria,Household,2024,August,Million Cubic Meter,100.777898
Bulgaria,Power,2024,September,Million Cubic Meter,24.190286
Bulgaria,Industrial,2024,September,Million Cubic Meter,70.282581
Bulgaria,Household,2024,September,Million Cubic Meter,107.757372
Bulgaria,Power,2024,October,Million Cubic Meter,26.538644
Bulgaria,Industrial,2024,October,Million Cubic Meter,71.635072
Bulgaria,Household,2024,October,Million Cubic Meter,138.011372
Bulgaria,Power,2024,November,Million Cubic Meter,33.922095
Bulgaria,Industrial,2024,November,Million Cubic Meter,81.465392
Bulgaria,Household,2024,November,Million Cubic Meter,207.732102
Bulgaria,Power,2024,December,Million Cubic Meter,42.245905
Bulgaria,Industrial,2024,December,Million Cubic Meter,70.845954
Bulgaria,Household,2024,December,Million Cubic Meter,222.275757
Bulgaria,Power,2023,January,Million Cubic Meter,50.080861
Bulgaria,Industrial,2023,January,Million Cubic Meter,66.785241
Bulgaria,Household,2023,January,Million Cubic Meter,196.40653
Bulgaria,Power,2023,February,Million Cubic Meter,45.064366
Bulgaria,Industrial,2023,February,Million Cubic Meter,68.553132
Bulgaria,Household,2023,February,Million Cubic Meter,184.855684
Bulgaria,Power,2023,March,Million Cubic Meter,46.741322
Bulgaria,Industrial,2023,March,Million Cubic Meter,74.946864
Bulgaria,Household,2023,March,Million Cubic Meter,189.546786
Bulgaria,Power,2023,April,Million Cubic Meter,41.699486
Bulgaria,Industrial,2023,April,Million Cubic Meter,68.872053
Bulgaria,Household,2023,April,Million Cubic Meter,145.852494
Bulgaria,Power,2023,May,Million Cubic Meter,23.5376
Bulgaria,Industrial,2023,May,Million Cubic Meter,57.690416
Bulgaria,Household,2023,May,Million Cubic Meter,88.824462
Bulgaria,Power,2023,June,Million Cubic Meter,21.063912
Bulgaria,Industrial,2023,June,Million Cubic Meter,58.518794
Bulgaria,Household,2023,June,Million Cubic Meter,79.578247
Bulgaria,Power,2023,July,Million Cubic Meter,21.431615
Bulgaria,Industrial,2023,July,Million Cubic Meter,71.92268
Bulgaria,Household,2023,July,Million Cubic Meter,97.805857
