Country,Year of Date,Month of Date,Unit,Value
Denmark,2025,April,Million Cubic Meter,150.716
Czech Republic,2025,April,Million Cubic Meter,576.416286
Croatia,2025,April,Million Cubic Meter,209.662443
Bulgaria,2025,April,Million Cubic Meter,249.355142
Belgium,2025,April,Million Cubic Meter,951.626999
Austria,2025,April,Million Cubic Meter,554.358549
United Kingdom,2025,May,Million Cubic Meter,2918.114076
Sweden,2025,May,Million Cubic Meter,46.796999
Spain,2025,May,Million Cubic Meter,2232
Slovenia,2025,May,Million Cubic Meter,80.086381
Slovakia,2025,May,Million Cubic Meter,264.316286
Serbia,2025,May,Million Cubic Meter,156
Romania,2025,May,Million Cubic Meter,553.299068
Portugal,2025,May,Million Cubic Meter,366.761905
Poland,2025,May,Million Cubic Meter,1596.579829
Netherlands,2025,May,Million Cubic Meter,1751
Luxembourg,2025,May,Million Cubic Meter,38.340815
Italy,2025,May,Million Cubic Meter,3173.902176
Hungary,2025,May,Million Cubic Meter,529.153334
Greece,2025,May,Million Cubic Meter,377.405986
Germany,2025,May,Million Cubic Meter,4626
France,2025,May,Million Cubic Meter,1465
Finland,2025,May,Million Cubic Meter,121.369
Denmark,2025,May,Million Cubic Meter,139.696
Czech Republic,2025,May,Million Cubic Meter,477.074095
Croatia,2025,May,Million Cubic Meter,112.929026
Bulgaria,2025,May,Million Cubic Meter,190.312178
Belgium,2025,May,Million Cubic Meter,755.272835
Austria,2025,May,Million Cubic Meter,416.498549
United Kingdom,2025,June,Million Cubic Meter,2376.956324
Sweden,2025,June,Million Cubic Meter,54.033
Spain,2025,June,Million Cubic Meter,2344
Slovenia,2025,June,Million Cubic Meter,71.703524
Slovakia,2025,June,Million Cubic Meter,183.456647
Serbia,2025,June,Million Cubic Meter,143.50137
Romania,2025,June,Million Cubic Meter,449.317787
Portugal,2025,June,Million Cubic Meter,334.47619
Poland,2025,June,Million Cubic Meter,1253.700445
Luxembourg,2025,June,Million Cubic Meter,27.246018
Italy,2025,June,Million Cubic Meter,3435.853364
Hungary,2025,June,Million Cubic Meter,381.635274
Greece,2025,June,Million Cubic Meter,479.224492
Germany,2025,June,Million Cubic Meter,3528
France,2025,June,Million Cubic Meter,1228
Finland,2025,June,Million Cubic Meter,91.52
Denmark,2025,June,Million Cubic Meter,126.875
Czech Republic,2025,June,Million Cubic Meter,348.214286
Croatia,2025,June,Million Cubic Meter,72.260979
Bulgaria,2025,June,Million Cubic Meter,169.420912
Belgium,2025,June,Million Cubic Meter,656.820747
Austria,2025,June,Million Cubic Meter,322.656854
United Kingdom,2025,July,Million Cubic Meter,2512.620867
Sweden,2025,July,Million Cubic Meter,49.403001
Spain,2025,July,Million Cubic Meter,1729
Slovenia,2025,July,Million Cubic Meter,69.786571
Slovakia,2025,July,Million Cubic Meter,230.054943
Serbia,2025,July,Million Cubic Meter,139
Romania,2025,July,Million Cubic Meter,504.681848
Portugal,2025,July,Million Cubic Meter,352.095238
Poland,2025,July,Million Cubic Meter,1422.067103
Luxembourg,2025,July,Million Cubic Meter,27.123419
Italy,2025,July,Million Cubic Meter,3909.689803
Hungary,2025,July,Million Cubic Meter,421.666428
Greece,2025,July,Million Cubic Meter,540.272544
Germany,2025,July,Million Cubic Meter,3558
France,2025,July,Million Cubic Meter,1236
Finland,2025,July,Million Cubic Meter,115.539999
Denmark,2025,July,Million Cubic Meter,108.614
Czech Republic,2025,July,Million Cubic Meter,349.21019
Croatia,2025,July,Million Cubic Meter,151.424235
Bulgaria,2025,July,Million Cubic Meter,167.63982
Belgium,2025,July,Million Cubic Meter,640.91455
Austria,2025,July,Million Cubic Meter,329.554424
United Kingdom,2025,August,Million Cubic Meter,2461.205638
Sweden,2025,August,Million Cubic Meter,62.814999
Spain,2025,August,Million Cubic Meter,2099
Slovenia,2025,August,Million Cubic Meter,65.516429
Slovakia,2025,August,Million Cubic Meter,226.727095
Serbia,2025,August,Million Cubic Meter,139
Romania,2025,August,Million Cubic Meter,530.588498
Portugal,2025,August,Million Cubic Meter,327.714286
Poland,2025,August,Million Cubic Meter,1366.17204
Luxembourg,2025,August,Million Cubic Meter,25.653437
Italy,2025,August,Million Cubic Meter,2644.076153
Hungary,2025,August,Million Cubic Meter,346.162
Greece,2025,August,Million Cubic Meter,369.302667
Germany,2025,August,Million Cubic Meter,3466
France,2025,August,Million Cubic Meter,1109
Finland,2025,August,Million Cubic Meter,94.99
Denmark,2025,August,Million Cubic Meter,119.492
Czech Republic,2025,August,Million Cubic Meter,300.588381
Croatia,2025,August,Million Cubic Meter,148.746012
Bulgaria,2025,August,Million Cubic Meter,162.202878
Belgium,2025,August,Million Cubic Meter,642.847123
Austria,2025,August,Million Cubic Meter,302.673532
United Kingdom,2025,September,Million Cubic Meter,2964.833714
Sweden,2025,September,Million Cubic Meter,45.393001
Spain,2025,September,Million Cubic Meter,2156
Slovenia,2025,September,Million Cubic Meter,72.173122
Slovakia,2025,September,Million Cubic Meter,277.122727
Serbia,2025,September,Million Cubic Meter,148
Romania,2025,September,Million Cubic Meter,543.50563
Portugal,2025,September,Million Cubic Meter,370.380953
Poland,2025,September,Million Cubic Meter,1506.228858
Luxembourg,2025,September,Million Cubic Meter,35.161392
Italy,2025,September,Million Cubic Meter,3422.360427
Hungary,2025,September,Million Cubic Meter,465.249371
France,2025,September,Million Cubic Meter,1401
Finland,2025,September,Million Cubic Meter,56.5
Denmark,2025,September,Million Cubic Meter,135.740999
Czech Republic,2025,September,Million Cubic Meter,335.957084
Croatia,2025,September,Million Cubic Meter,145.04824
Bulgaria,2025,September,Million Cubic Meter,191.819246
Belgium,2025,September,Million Cubic Meter,700.430283
Austria,2025,September,Million Cubic Meter,350.589001
United Kingdom,2025,October,Million Cubic Meter,4625.668872
Sweden,2025,October,Million Cubic Meter,66.862
Slovenia,2025,October,Million Cubic Meter,108.460214
Slovakia,2025,October,Million Cubic Meter,450.003139
Serbia,2025,October,Million Cubic Meter,2.474263
Romania,2025,October,Million Cubic Meter,1001.837391
Portugal,2025,October,Million Cubic Meter,387.619048
Poland,2025,October,Million Cubic Meter,2176.318894
Luxembourg,2025,October,Million Cubic Meter,54.096063
Hungary,2025,October,Million Cubic Meter,952.370542
Finland,2025,October,Million Cubic Meter,111.03
Denmark,2025,October,Million Cubic Meter,183.243
Czech Republic,2025,October,Million Cubic Meter,608.21262
Croatia,2025,October,Million Cubic Meter,243.236037
Bulgaria,2025,October,Million Cubic Meter,247.769255
Austria,2025,October,Million Cubic Meter,135.106181
United Kingdom,2024,January,Million Cubic Meter,16739.36516
Sweden,2024,January,Million Cubic Meter,250.673
Spain,2024,January,Million Cubic Meter,2405
Slovenia,2024,January,Million Cubic Meter,229.499569
Slovakia,2024,January,Million Cubic Meter,1338.155238
Serbia,2024,January,Million Cubic Meter,922
Romania,2024,January,Million Cubic Meter,1749.801042
Portugal,2024,January,Million Cubic Meter,1101.047619
Poland,2024,January,Million Cubic Meter,2678.818037
Netherlands,2024,January,Million Cubic Meter,4124.875635
Luxembourg,2024,January,Million Cubic Meter,90.931033
Italy,2024,January,Million Cubic Meter,7733.764343
Hungary,2024,January,Million Cubic Meter,2783.788819
Greece,2024,January,Million Cubic Meter,575.01229
Germany,2024,January,Million Cubic Meter,11651
France,2024,January,Million Cubic Meter,5279
Finland,2024,January,Million Cubic Meter,465.243836
Denmark,2024,January,Million Cubic Meter,960.553
Czech Republic,2024,January,Million Cubic Meter,2188.57
Croatia,2024,January,Million Cubic Meter,616.170554
Bulgaria,2024,January,Million Cubic Meter,638.00048
Belgium,2024,January,Million Cubic Meter,1862.916443
Austria,2024,January,Million Cubic Meter,2996.197869
United Kingdom,2024,February,Million Cubic Meter,12345.469625
Sweden,2024,February,Million Cubic Meter,177.376
Spain,2024,February,Million Cubic Meter,3567
Slovenia,2024,February,Million Cubic Meter,178.836189
Slovakia,2024,February,Million Cubic Meter,945.012952
Serbia,2024,February,Million Cubic Meter,659.496043
Romania,2024,February,Million Cubic Meter,1294.382648
Portugal,2024,February,Million Cubic Meter,964.190476
Poland,2024,February,Million Cubic Meter,2113.428203
Netherlands,2024,February,Million Cubic Meter,2996
Luxembourg,2024,February,Million Cubic Meter,69.270668
Italy,2024,February,Million Cubic Meter,6228.550781
Hungary,2024,February,Million Cubic Meter,1900.933744
Greece,2024,February,Million Cubic Meter,465.178525
Germany,2024,February,Million Cubic Meter,8338
France,2024,February,Million Cubic Meter,3747
Finland,2024,February,Million Cubic Meter,406.043166
Denmark,2024,February,Million Cubic Meter,670.575684
Czech Republic,2024,February,Million Cubic Meter,1473.154286
Croatia,2024,February,Million Cubic Meter,438.430188
Bulgaria,2024,February,Million Cubic Meter,523.457514
Belgium,2024,February,Million Cubic Meter,1319.25145
Austria,2024,February,Million Cubic Meter,2031.858116
United Kingdom,2024,March,Million Cubic Meter,12048.505345
Sweden,2024,March,Million Cubic Meter,140.300707
Spain,2024,March,Million Cubic Meter,3377
Slovenia,2024,March,Million Cubic Meter,176.278836
Slovakia,2024,March,Million Cubic Meter,903.97272
Serbia,2024,March,Million Cubic Meter,509.526634
Romania,2024,March,Million Cubic Meter,1251.957685
Portugal,2024,March,Million Cubic Meter,1016.952381
Poland,2024,March,Million Cubic Meter,2080.358102
Netherlands,2024,March,Million Cubic Meter,2849
Luxembourg,2024,March,Million Cubic Meter,62.807825
Italy,2024,March,Million Cubic Meter,5529.313232
Hungary,2024,March,Million Cubic Meter,1793.654864
Greece,2024,March,Million Cubic Meter,503.792122
Germany,2024,March,Million Cubic Meter,7896
France,2024,March,Million Cubic Meter,3526
Finland,2024,March,Million Cubic Meter,344.802
Denmark,2024,March,Million Cubic Meter,653.553277
Czech Republic,2024,March,Million Cubic Meter,1393.994484
Croatia,2024,March,Million Cubic Meter,406.373085
Bulgaria,2024,March,Million Cubic Meter,564.645954
Belgium,2024,March,Million Cubic Meter,1280.496796
Austria,2024,March,Million Cubic Meter,1831.264986
United Kingdom,2024,April,Million Cubic Meter,9039.725566
Sweden,2024,April,Million Cubic Meter,155.333001
Spain,2024,April,Million Cubic Meter,2712
Slovenia,2024,April,Million Cubic Meter,153.36261
Slovakia,2024,April,Million Cubic Meter,660.150816
Serbia,2024,April,Million Cubic Meter,346
Romania,2024,April,Million Cubic Meter,564.806906
Portugal,2024,April,Million Cubic Meter,806.476191
Poland,2024,April,Million Cubic Meter,1621.672254
Netherlands,2024,April,Million Cubic Meter,2331
Luxembourg,2024,April,Million Cubic Meter,52.95737
Italy,2024,April,Million Cubic Meter,3954.358094
Hungary,2024,April,Million Cubic Meter,1222.475095
Greece,2024,April,Million Cubic Meter,399.649566
Germany,2024,April,Million Cubic Meter,6380
France,2024,April,Million Cubic Meter,2511
Finland,2024,April,Million Cubic Meter,247.174001
Denmark,2024,April,Million Cubic Meter,583.620929
Czech Republic,2024,April,Million Cubic Meter,990.249619
Croatia,2024,April,Million Cubic Meter,304.931024
Bulgaria,2024,April,Million Cubic Meter,416.551332
Belgium,2024,April,Million Cubic Meter,1056.444045
Austria,2024,April,Million Cubic Meter,1455.112515
United Kingdom,2024,May,Million Cubic Meter,6485.144058
Sweden,2024,May,Million Cubic Meter,119.142
Spain,2024,May,Million Cubic Meter,2566
Slovenia,2024,May,Million Cubic Meter,129.668476
Slovakia,2024,May,Million Cubic Meter,449.845082
Serbia,2024,May,Million Cubic Meter,292
Romania,2024,May,Million Cubic Meter,473.304872
Portugal,2024,May,Million Cubic Meter,792.47619
Poland,2024,May,Million Cubic Meter,1186.017357
Netherlands,2024,May,Million Cubic Meter,1868.001779
Luxembourg,2024,May,Million Cubic Meter,40.954917
Italy,2024,May,Million Cubic Meter,3407.285888
Hungary,2024,May,Million Cubic Meter,932.072853
Greece,2024,May,Million Cubic Meter,473.788442
Germany,2024,May,Million Cubic Meter,4496
France,2024,May,Million Cubic Meter,1760
Finland,2024,May,Million Cubic Meter,241.554
Denmark,2024,May,Million Cubic Meter,407.599393
Czech Republic,2024,May,Million Cubic Meter,675.881714
Croatia,2024,May,Million Cubic Meter,248.81226
Bulgaria,2024,May,Million Cubic Meter,406.11319
Belgium,2024,May,Million Cubic Meter,766.204018
Austria,2024,May,Million Cubic Meter,1096.277486
United Kingdom,2024,June,Million Cubic Meter,5405.856264
Sweden,2024,June,Million Cubic Meter,103.285999
Spain,2024,June,Million Cubic Meter,2307
Slovenia,2024,June,Million Cubic Meter,109.605333
Slovakia,2024,June,Million Cubic Meter,414.74219
Serbia,2024,June,Million Cubic Meter,282.942491
Romania,2024,June,Million Cubic Meter,491.950846
Portugal,2024,June,Million Cubic Meter,750.380951
Poland,2024,June,Million Cubic Meter,1141.438669
Netherlands,2024,June,Million Cubic Meter,1763
Luxembourg,2024,June,Million Cubic Meter,31.106273
Italy,2024,June,Million Cubic Meter,3313.294983
Hungary,2024,June,Million Cubic Meter,801.032333
Greece,2024,June,Million Cubic Meter,514.435688
Germany,2024,June,Million Cubic Meter,4051
France,2024,June,Million Cubic Meter,1447
Finland,2024,June,Million Cubic Meter,273.753561
Denmark,2024,June,Million Cubic Meter,387.660979
Czech Republic,2024,June,Million Cubic Meter,655.840025
Croatia,2024,June,Million Cubic Meter,195.606917
Bulgaria,2024,June,Million Cubic Meter,370.541362
Belgium,2024,June,Million Cubic Meter,711.583206
Austria,2024,June,Million Cubic Meter,1004.408817
United Kingdom,2024,July,Million Cubic Meter,5380.007068
Sweden,2024,July,Million Cubic Meter,110.072001
Spain,2024,July,Million Cubic Meter,2459
Slovenia,2024,July,Million Cubic Meter,105.786857
Slovakia,2024,July,Million Cubic Meter,415.498797
Serbia,2024,July,Million Cubic Meter,283.719238
Romania,2024,July,Million Cubic Meter,583.504991
Portugal,2024,July,Million Cubic Meter,300.285715
Poland,2024,July,Million Cubic Meter,1335.072335
Netherlands,2024,July,Million Cubic Meter,1707.900951
Luxembourg,2024,July,Million Cubic Meter,25.536425
Italy,2024,July,Million Cubic Meter,4093.51947
Hungary,2024,July,Million Cubic Meter,809.179429
Greece,2024,July,Million Cubic Meter,594.611545
Germany,2024,July,Million Cubic Meter,3720
France,2024,July,Million Cubic Meter,1374
Finland,2024,July,Million Cubic Meter,266.536455
Denmark,2024,July,Million Cubic Meter,324.526476
Czech Republic,2024,July,Million Cubic Meter,575.305714
Croatia,2024,July,Million Cubic Meter,254.050366
Bulgaria,2024,July,Million Cubic Meter,327.681918
Belgium,2024,July,Million Cubic Meter,644.698074
Austria,2024,July,Million Cubic Meter,943.886712
United Kingdom,2024,August,Million Cubic Meter,4593.554452
Sweden,2024,August,Million Cubic Meter,121.564
Spain,2024,August,Million Cubic Meter,2303
Slovenia,2024,August,Million Cubic Meter,105.315143
Slovakia,2024,August,Million Cubic Meter,438.52581
Serbia,2024,August,Million Cubic Meter,286.95586
Romania,2024,August,Million Cubic Meter,536.911433
Portugal,2024,August,Million Cubic Meter,280.666666
Poland,2024,August,Million Cubic Meter,1387.529888
Netherlands,2024,August,Million Cubic Meter,1663
Luxembourg,2024,August,Million Cubic Meter,21.975468
Italy,2024,August,Million Cubic Meter,3556.089172
Hungary,2024,August,Million Cubic Meter,781.046229
Greece,2024,August,Million Cubic Meter,548.012019
Germany,2024,August,Million Cubic Meter,3540
France,2024,August,Million Cubic Meter,1119
Finland,2024,August,Million Cubic Meter,214.75117
Denmark,2024,August,Million Cubic Meter,246.172
Czech Republic,2024,August,Million Cubic Meter,611.645057
Croatia,2024,August,Million Cubic Meter,279.575483
Bulgaria,2024,August,Million Cubic Meter,375.748194
Belgium,2024,August,Million Cubic Meter,618.163704
Austria,2024,August,Million Cubic Meter,910.950307
United Kingdom,2024,September,Million Cubic Meter,6263.904311
Sweden,2024,September,Million Cubic Meter,59.087
Spain,2024,September,Million Cubic Meter,2060
Slovenia,2024,September,Million Cubic Meter,60.705095
Slovakia,2024,September,Million Cubic Meter,267.039381
Serbia,2024,September,Million Cubic Meter,156
Romania,2024,September,Million Cubic Meter,531.971756
Portugal,2024,September,Million Cubic Meter,314.47619
Poland,2024,September,Million Cubic Meter,1496.618937
Netherlands,2024,September,Million Cubic Meter,1795.40149
Luxembourg,2024,September,Million Cubic Meter,34.189034
Italy,2024,September,Million Cubic Meter,3942.01239
Hungary,2024,September,Million Cubic Meter,519.908571
Greece,2024,September,Million Cubic Meter,463.388288
Germany,2024,September,Million Cubic Meter,4226
France,2024,September,Million Cubic Meter,1537
Finland,2024,September,Million Cubic Meter,134.902967
Denmark,2024,September,Million Cubic Meter,132.633
Czech Republic,2024,September,Million Cubic Meter,372.088143
Croatia,2024,September,Million Cubic Meter,356.168503
Bulgaria,2024,September,Million Cubic Meter,376.540033
Belgium,2024,September,Million Cubic Meter,737.559876
Austria,2024,September,Million Cubic Meter,391.402781
United Kingdom,2024,October,Million Cubic Meter,4616.076301
Sweden,2024,October,Million Cubic Meter,50.234
Spain,2024,October,Million Cubic Meter,2103
Slovenia,2024,October,Million Cubic Meter,65.636182
Slovakia,2024,October,Million Cubic Meter,398.755113
Serbia,2024,October,Million Cubic Meter,235.564134
Romania,2024,October,Million Cubic Meter,812.744572
Portugal,2024,October,Million Cubic Meter,328.666666
Poland,2024,October,Million Cubic Meter,1899.007061
Netherlands,2024,October,Million Cubic Meter,2245
Luxembourg,2024,October,Million Cubic Meter,44.777041
Italy,2024,October,Million Cubic Meter,4177.751343
Hungary,2024,October,Million Cubic Meter,796.268423
Greece,2024,October,Million Cubic Meter,450.13334
Germany,2024,October,Million Cubic Meter,6209
France,2024,October,Million Cubic Meter,2164
Finland,2024,October,Million Cubic Meter,152.387001
Denmark,2024,October,Million Cubic Meter,168.819717
Czech Republic,2024,October,Million Cubic Meter,622.191069
Croatia,2024,October,Million Cubic Meter,224.196725
Bulgaria,2024,October,Million Cubic Meter,236.185088
Belgium,2024,October,Million Cubic Meter,966.492004
Austria,2024,October,Million Cubic Meter,564.991972
United Kingdom,2024,November,Million Cubic Meter,6739.270361
Sweden,2024,November,Million Cubic Meter,79.227
Spain,2024,November,Million Cubic Meter,2704
Slovenia,2024,November,Million Cubic Meter,101.809762
Slovakia,2024,November,Million Cubic Meter,614.103364
Serbia,2024,November,Million Cubic Meter,425
Romania,2024,November,Million Cubic Meter,1372.616564
Portugal,2024,November,Million Cubic Meter,348.761905
Poland,2024,November,Million Cubic Meter,2456.828528
Netherlands,2024,November,Million Cubic Meter,3287
Luxembourg,2024,November,Million Cubic Meter,72.360204
Italy,2024,November,Million Cubic Meter,6326.483154
Hungary,2024,November,Million Cubic Meter,1280.576857
Greece,2024,November,Million Cubic Meter,637.708819
Germany,2024,November,Million Cubic Meter,9323
France,2024,November,Million Cubic Meter,3780
Finland,2024,November,Million Cubic Meter,107.487
Denmark,2024,November,Million Cubic Meter,242.756152
Czech Republic,2024,November,Million Cubic Meter,964.17781
Croatia,2024,November,Million Cubic Meter,263.54443
Bulgaria,2024,November,Million Cubic Meter,323.119589
Belgium,2024,November,Million Cubic Meter,1481.262543
Austria,2024,November,Million Cubic Meter,973.256987
United Kingdom,2024,December,Million Cubic Meter,7002.679922
Sweden,2024,December,Million Cubic Meter,72.751
Spain,2024,December,Million Cubic Meter,3242
Slovenia,2024,December,Million Cubic Meter,122.839905
Slovakia,2024,December,Million Cubic Meter,665.755667
Serbia,2024,December,Million Cubic Meter,477
Romania,2024,December,Million Cubic Meter,1544.971946
Portugal,2024,December,Million Cubic Meter,392.285715
Poland,2024,December,Million Cubic Meter,2549.802584
Netherlands,2024,December,Million Cubic Meter,3460.989858
Luxembourg,2024,December,Million Cubic Meter,82.925724
Italy,2024,December,Million Cubic Meter,7750.339966
Hungary,2024,December,Million Cubic Meter,1438.976667
Greece,2024,December,Million Cubic Meter,678.11747
Germany,2024,December,Million Cubic Meter,10576
France,2024,December,Million Cubic Meter,4595
Finland,2024,December,Million Cubic Meter,170.377
Denmark,2024,December,Million Cubic Meter,255.334
Czech Republic,2024,December,Million Cubic Meter,1025.240619
Croatia,2024,December,Million Cubic Meter,313.884856
Bulgaria,2024,December,Million Cubic Meter,335.367616
Belgium,2024,December,Million Cubic Meter,1601.650833
Austria,2024,December,Million Cubic Meter,1037.54262
United Kingdom,2023,January,Million Cubic Meter,15382.750787
Sweden,2023,January,Million Cubic Meter,154.874
Spain,2023,January,Million Cubic Meter,3802
Slovenia,2023,January,Million Cubic Meter,199.054181
Slovakia,2023,January,Million Cubic Meter,1106.7284
Serbia,2023,January,Million Cubic Meter,836
Romania,2023,January,Million Cubic Meter,1465.514491
Portugal,2023,January,Million Cubic Meter,1041.428571
Poland,2023,January,Million Cubic Meter,2153.152178
Netherlands,2023,January,Million Cubic Meter,3383
Luxembourg,2023,January,Million Cubic Meter,80.757785
Italy,2023,January,Million Cubic Meter,7306.473572
Hungary,2023,January,Million Cubic Meter,2407.982289
Greece,2023,January,Million Cubic Meter,388.904979
Germany,2023,January,Million Cubic Meter,9737
France,2023,January,Million Cubic Meter,5096
Finland,2023,January,Million Cubic Meter,265.625393
Denmark,2023,January,Million Cubic Meter,722.546968
Czech Republic,2023,January,Million Cubic Meter,1861.579838
Croatia,2023,January,Million Cubic Meter,514.39254
Bulgaria,2023,January,Million Cubic Meter,576.464403
Belgium,2023,January,Million Cubic Meter,1671.038849
Austria,2023,January,Million Cubic Meter,2117.06584
United Kingdom,2023,February,Million Cubic Meter,13003.084038
Sweden,2023,February,Million Cubic Meter,136.482
Spain,2023,February,Million Cubic Meter,4071
Slovenia,2023,February,Million Cubic Meter,186.45997
Slovakia,2023,February,Million Cubic Meter,1116.402743
Serbia,2023,February,Million Cubic Meter,800
Romania,2023,February,Million Cubic Meter,1454.593654
Portugal,2023,February,Million Cubic Meter,1174.857143
Poland,2023,February,Million Cubic Meter,2042.331012
Netherlands,2023,February,Million Cubic Meter,3051
Luxembourg,2023,February,Million Cubic Meter,73.183708
Italy,2023,February,Million Cubic Meter,6897.224854
Hungary,2023,February,Million Cubic Meter,2351.467315
Greece,2023,February,Million Cubic Meter,410.895021
Germany,2023,February,Million Cubic Meter,8960
France,2023,February,Million Cubic Meter,4636
Finland,2023,February,Million Cubic Meter,293.90154
Denmark,2023,February,Million Cubic Meter,660.610939
Czech Republic,2023,February,Million Cubic Meter,1810.894606
Croatia,2023,February,Million Cubic Meter,521.752128
Bulgaria,2023,February,Million Cubic Meter,553.008124
Belgium,2023,February,Million Cubic Meter,1535.130707
Austria,2023,February,Million Cubic Meter,1954.221928
United Kingdom,2023,March,Million Cubic Meter,13860.646372
Sweden,2023,March,Million Cubic Meter,171.02
Spain,2023,March,Million Cubic Meter,3508
Slovenia,2023,March,Million Cubic Meter,165.074162
Slovakia,2023,March,Million Cubic Meter,976.12
Serbia,2023,March,Million Cubic Meter,662
Romania,2023,March,Million Cubic Meter,1064.69271
Portugal,2023,March,Million Cubic Meter,1063.238096
Poland,2023,March,Million Cubic Meter,2042.910629
Netherlands,2023,March,Million Cubic Meter,3111
Luxembourg,2023,March,Million Cubic Meter,71.113038
Italy,2023,March,Million Cubic Meter,5717.700318
Hungary,2023,March,Million Cubic Meter,1944.457874
Greece,2023,March,Million Cubic Meter,379.705525
Germany,2023,March,Million Cubic Meter,8588
France,2023,March,Million Cubic Meter,4018
Finland,2023,March,Million Cubic Meter,267.504
Denmark,2023,March,Million Cubic Meter,683.090895
Czech Republic,2023,March,Million Cubic Meter,1621.800514
Croatia,2023,March,Million Cubic Meter,472.242188
Bulgaria,2023,March,Million Cubic Meter,575.873181
Belgium,2023,March,Million Cubic Meter,1519.411925
Austria,2023,March,Million Cubic Meter,1660.805968
